request_id,intake_status,account_id,request_title,character_property,character_license_id,character_px_area,canvas_px_area,background_source,background_license_id,intended_distribution,subject_is_minor,minor_consent_type,minor_consent_valid_until,alteration_level,alteration_disclosure_on_file
REQ-01,active,ACC-01,Birthday Composite,Captain Marlow,LIC-101,612000,1700000,customer_original,none,personal_only,False,none,none,cosmetic,False
REQ-02,active,ACC-01,Anniversary Card,Nimbus the Cat,LIC-102,240000,1000000,customer_original,none,social_public,False,none,none,none,False
REQ-03,active,ACC-01,Nursery Portrait,none,none,none,none,customer_original,none,personal_only,True,basic,2026-08-31,cosmetic,False
REQ-04,active,ACC-01,Beach Day Montage,none,none,none,none,third_party_unlicensed,none,personal_only,False,none,none,none,False
REQ-05,active,ACC-02,Autumn Campaign Key Art,Rook and Raven,LIC-103,287000,1000000,third_party_licensed,LIC-106,social_public,True,basic,2027-01-31,substantive,True
REQ-06,active,ACC-02,Founder Feature Banner,Captain Marlow,LIC-101,300000,1000000,customer_original,none,social_public,False,none,none,substantive,False
REQ-07,active,ACC-02,Team Offsite Recap,none,none,none,none,customer_original,none,client_internal,False,none,none,substantive,False
REQ-08,active,ACC-02,Studio Reel Still,none,none,none,none,third_party_licensed,LIC-107,social_public,False,none,none,none,False
REQ-09,active,ACC-03,Cover Story Composite,Ember Knight,LIC-104,415000,1000000,customer_original,none,print_for_sale,False,none,none,none,False
REQ-10,active,ACC-03,Weekend Edition Teaser,Ember Knight,LIC-104,486000,1200000,third_party_licensed,LIC-108,social_public,False,none,none,substantive,False
REQ-11,active,ACC-03,Youth League Feature,none,none,none,none,customer_original,none,print_for_sale,True,publicity,2026-03-31,cosmetic,False
REQ-12,active,ACC-03,Newsroom Style Guide Plate,none,none,none,none,customer_original,none,client_internal,True,basic,2026-09-30,none,False
REQ-13,withdrawn,ACC-04,Yearbook Promo Post,none,none,none,none,customer_original,none,social_public,True,publicity,2026-05-31,none,False
REQ-14,active,ACC-04,Class Print Order,none,none,none,none,customer_original,none,print_for_sale,True,basic,2026-12-31,cosmetic,False
REQ-15,active,ACC-04,Keepsake Collage,none,none,none,none,customer_original,none,personal_only,True,publicity,2027-01-31,none,False
REQ-16,withdrawn,ACC-04,Staff Portrait Cleanup,none,none,none,none,customer_original,none,personal_only,False,none,none,none,False
REQ-17,active,ACC-05,Listing Hero Image,Nimbus the Cat,LIC-102,532000,1400000,customer_original,none,print_for_sale,False,none,none,none,False
REQ-18,active,ACC-05,Quarry View Brochure,none,none,none,none,third_party_licensed,LIC-105,print_for_sale,False,none,none,substantive,True
REQ-19,active,ACC-05,Ridge Panorama Insert,none,none,none,none,customer_original,none,personal_only,False,none,none,none,False
REQ-20,active,ACC-05,Agent Profile Post,none,none,none,none,customer_original,none,social_public,False,none,none,cosmetic,False
REQ-21,active,ACC-06,Label Intranet Header,none,none,900000,1500000,customer_original,none,client_internal,False,none,none,none,False
REQ-22,active,ACC-06,Artist Fan Gift,Captain Marlow,LIC-101,704000,1600000,customer_original,none,personal_only,False,none,none,none,False
REQ-23,active,ACC-06,Tour Poster Backdrop,none,none,none,none,third_party_unlicensed,LIC-107,print_for_sale,False,none,none,substantive,True
REQ-24,active,ACC-06,Family Day Keepsake,none,none,none,none,customer_original,none,personal_only,True,publicity,2028-01-01,substantive,False
REQ-25,active,ACC-07,Ceremony Retouch,none,none,none,none,customer_original,none,personal_only,False,none,none,cosmetic,False
REQ-26,withdrawn,ACC-07,Reception Group Fix,none,none,none,none,customer_original,none,personal_only,False,none,none,substantive,False
REQ-27,active,ACC-07,Engagement Announcement,Nimbus the Cat,LIC-102,251000,1000000,customer_original,none,social_public,False,none,none,none,False
REQ-28,active,ACC-07,Venue Plate Composite,none,none,none,none,third_party_licensed,LIC-105,personal_only,True,basic,2026-03-31,none,False
REQ-29,active,ACC-08,Match Day Highlight,none,none,none,none,customer_original,none,client_internal,True,publicity,2027-03-31,substantive,True
REQ-30,active,ACC-08,Season Poster,Ember Knight,LIC-104,546000,1300000,third_party_licensed,LIC-107,print_for_sale,False,none,none,substantive,False
REQ-31,withdrawn,ACC-08,Committee Briefing Slide,none,none,none,none,customer_original,none,client_internal,False,none,none,none,False
REQ-32,active,ACC-08,Junior Squad Keepsake,Rook and Raven,LIC-103,825000,1500000,customer_original,none,personal_only,True,none,none,cosmetic,False
