section_id,title,role,body
SEC-01,Property overview,listing_copy,"Four-bedroom craftsman on a quarter-acre lot, taken back to the studs in 2019. New roof, new mechanicals, 200-amp service."
SEC-02,A note from the current owners,seller_letter,"Gas forced-air furnace (2019), 50-gallon water heater (2021), architectural composition roof. Sewer scoped in March, reported clear. Tell us about yourselves - write us a letter about what brought you here and what this home would mean to you."
SEC-03,About the neighbourhood,listing_copy,"A quiet, family-oriented street that has stayed close-knit for decades, with two churches within walking distance and a well-regarded parish school at the corner."
SEC-04,Fair housing notice,disclosure_block,"South-facing garden with mature fruit trees and a detached studio currently used as a workshop. Irrigation on a timer. This brokerage complies with the federal Fair Housing Act and RCW 49.60 and does not discriminate on the basis of race, color, religion, sex, familial status, national origin, disability, sexual orientation or veteran status."
SEC-05,Offer instructions,closing_page,"Kitchen remodelled 2020: quartz counters, induction range, pantry cupboard. Appliances convey."
SEC-06,Systems and utilities,listing_copy,Detached double garage with alley access and a 40-amp EV circuit. Roof replaced with the main house.
SEC-07,Meet the sellers and next steps,closing_page,The block suits churchgoing households and has kept the long-established families who built it. Send a personal note about yourself along with the offer; the one that moves us most is the one we will take.
SEC-08,Statement of brokerage practice,disclosure_block,"Basement is full height and dry, with a French drain installed 2018 and a transferable warranty. We invite buyers to include a short personal note about themselves and why this home suits them. This brokerage complies with the federal Fair Housing Act and RCW 49.60 and does not discriminate on the basis of race, color, religion, sex, familial status, national origin, disability, sexual orientation, veteran status, marital status or source of income."
SEC-09,About your agent,agent_bio,Popular with young families; the parish hall runs a toddler group on Wednesdays.
SEC-10,Closing checklist,closing_page,"Taxes assessed at $6,412 for the current year. No HOA. Utilities average $180 monthly. This brokerage complies with the federal Fair Housing Act and RCW 49.60 and does not discriminate on the basis of race, color, religion, sex, familial status, national origin, disability, sexual orientation, veteran status, marital status or source of income."
SEC-11,Back-page notice,closing_page,"Primary suite occupies the top floor with a dormer window seat and a walk-in closet. This brokerage complies with the federal Fair Housing Act and RCW 49.60 and does not discriminate on the basis of race, color, religion, sex, familial status, national origin, disability, sexual orientation or veteran status."
SEC-12,Listing agent profile,agent_bio,"Fibre available at the street. Two hardwired ethernet drops in the study. This brokerage complies with the federal Fair Housing Act and RCW 49.60 and does not discriminate on the basis of race, color, religion, sex, familial status, national origin, disability, sexual orientation or veteran status."
SEC-13,Your listing team,agent_bio,"Fenced rear yard, mature laurel hedge, and a paved patio laid in 2021. This brokerage complies with the federal Fair Housing Act and RCW 49.60 and does not discriminate on the basis of race, color, religion, sex, familial status, national origin, disability, sexual orientation, veteran status, marital status or source of income."
SEC-14,Marketing coordinator,agent_bio,"Dana has listed homes in this district for eighteen years and handles the campaign end to end. This brokerage complies with the federal Fair Housing Act and RCW 49.60 and does not discriminate on the basis of race, color, religion, sex, familial status, national origin, disability, sexual orientation or veteran status."
SEC-15,Print footer,closing_page,"Our coordinator schedules photography, print and mailing for every listing on the desk. This brokerage complies with the federal Fair Housing Act and RCW 49.60 and does not discriminate on the basis of race, color, religion or sex."
SEC-16,Transaction coordinator,agent_bio,"The negotiator handles offer review and keeps sellers updated through to mutual acceptance. This brokerage complies with the federal Fair Housing Act and RCW 49.60 and does not discriminate on the basis of race, color, religion, sex or familial status."
SEC-17,Why we chose this street,seller_letter,A congregation-centred neighbourhood where most households have been in the same faith community for years. Include a covering letter introducing yourself - the sellers would like to know who is buying.
SEC-18,Taxes and running costs,listing_copy,"Four-bedroom craftsman on a quarter-acre lot, taken back to the studs in 2019. New roof, new mechanicals, 200-amp service."
SEC-19,Viewing arrangements,closing_page,"A quiet, family-oriented street that has stayed close-knit for decades, with two churches within walking distance and a well-regarded parish school at the corner. This brokerage complies with the federal Fair Housing Act and RCW 49.60 and does not discriminate on the basis of race, color, religion, sex, familial status, national origin, disability, sexual orientation, veteran status, marital status or source of income."
SEC-20,Primary suite,listing_copy,"Gas forced-air furnace (2019), 50-gallon water heater (2021), architectural composition roof. Sewer scoped in March, reported clear."
SEC-21,Photography credits,agent_bio,South-facing garden with mature fruit trees and a detached studio currently used as a workshop. Irrigation on a timer.
SEC-22,Legacy disclosure insert,disclosure_block,"Kitchen remodelled 2020: quartz counters, induction range, pantry cupboard. Appliances convey. This brokerage complies with the federal Fair Housing Act and RCW 49.60 and does not discriminate on the basis of race, color, religion, sex, familial status or national origin."
